Name,Year,Episodes,Type,Rating
176. Dragon Ball,1986–1989,153 eps,TV-MA,8.6
177. Flight of the Conchords,2007–2009,22 eps,TV-14,8.6
178. Dragon Ball,1995–2003,153 eps,TV-14,8.6
179. Black Sun,2017–,20 eps,TV-14,8.9
180. Coupling,2000–2004,28 eps,TV-MA,8.6
181. Battlestar Galactica,2003,2 eps,TV-14,8.5
182. Impractical Jokers,2011–,277 eps,TV-PG,8.6
183. What We Do in the Shadows,2019–,51 eps,TV-14,8.6
184. Spaced,1999–2001,14 eps,TV-MA,8.5
"185. Yes, Prime Minister",1986–1987,16 eps,TV-PG,8.6
186. The Family Man,2019–,20 eps,TV-MA,8.7
187. Samurai Champloo,2004–2005,26 eps,TV-MA,8.6
188. Long Way Round,2004–2010,10 eps,TV-MA,8.6
189. Mr Inbetween,2018–2021,26 eps,TV-14,8.6
190. Formula 1: Drive to Survive,2019–,51 eps,TV-MA,8.5
191. Mr. Robot,2015–2019,45 eps,TV-14,8.5
192. The IT Crowd,2006–2013,25 eps,TV-MA,8.5
193. I'm Alan Partridge,1997–2002,12 eps,TV-14,8.6
194. Ezel,2009–2011,71 eps,TV-PG,8.7
195. Louie,2010–2015,61 eps,TV-MA,8.5
196. Endeavour,2012–2023,36 eps,TV-14,8.6
197. Whose Line Is It Anyway?,1998–2007,220 eps,TV-PG,8.5
198. The Office,2001–2003,14 eps,TV-MA,8.5
199. Mob Psycho 100,2016–2022,37 eps,TV-MA,8.6
200. Through the Wormhole,2010–2017,62 eps,TV-MA,8.6
201. Rocket Boys,2022–,16 eps,TV-MA,8.9
202. Samurai Jack,2001–2017,62 eps,TV-14,8.5
203. Spartacus,2010–2013,33 eps,TV-MA,8.5
204. Shameless,2011–2021,134 eps,TV-PG,8.6
205. The Rehearsal,2022–,7 eps,TV-MA,8.6
206. Detectorists,2014–2022,20 eps,TV-MA,8.6
207. Letterkenny,2016–,76 eps,Not Rated,8.7
208. Doctor Who,2005–,209 eps,TV-MA,8.6
209. Sons of Anarchy,2008–2014,92 eps,TV-14,8.6
210. Neon Genesis Evangelion,1995–1996,26 eps,TV-MA,8.5
211. Skam,2015–2017,43 eps,TV-PG,8.6
212. Brass Eye,1997–2001,7 eps,TV-MA,8.6
213. Extraordinary Attorney Woo,2022,16 eps,TV-MA,8.7
214. Twin Peaks,2017,18 eps,TV-MA,8.5
215. North & South,2004,4 eps,TV-MA,8.6
216. Trailer Park Boys,2001–2018,106 eps,TV-PG,8.6
217. Happy Valley,2014–2023,18 eps,TV-MA,8.5
218. Spartacus: Gods of the Arena,2011,6 eps,TV-14,8.5
219. Westworld,2016–2022,36 eps,TV-14,8.5
220. Fullmetal Alchemist,2003–2004,51 eps,TV-14,8.5
221. Silicon Valley,2014–2019,53 eps,TV-MA,8.5
222. Futurama,1999–2023,160 eps,TV-14,8.5
223. From the Earth to the Moon,1998,12 eps,TV-PG,8.6
224. Tear Along the Dotted Line,2021,6 eps,TV-MA,8.6
225. Rurouni Kenshin: Trust and Betrayal,1999,4 eps,TV-MA,8.6
226. Schitt's Creek,2015–2020,80 eps,TV-14,8.5
227. Regular Show,2010–2017,244 eps,TV-14,8.5
228. Umbre,2014–2019,21 eps,TV-MA,8.7
229. Hannibal,2013–2015,39 eps,TV-MA,8.5
230. The Expanse,2015–2022,62 eps,TV-MA,8.5
231. Community,2009–2015,110 eps,TV-MA,8.5
232. Wentworth,2013–2021,100 eps,TV-MA,8.7
233. Jujutsu Kaisen,2020–,30 eps,TV-14,8.5
234. My Brilliant Friend,2018–,25 eps,TV-PG,8.6
235. Chef's Table,2015–2019,30 eps,TV-MA,8.5
236. Derry Girls,2018–2022,19 eps,TV-14,8.5
237. Avrupa Yakasi,2004–2009,190 eps,TV-14,8.6
238. Cobra Kai,2018–2023,51 eps,TV-MA,8.5
239. Your Lie in April,2014–2018,24 eps,TV-14,8.6
240. Generation Kill,2008,7 eps,TV-MA,8.5
241. Gintama,2005–2021,375 eps,TV-14,8.7
242. Queer Eye,2018–,60 eps,TV-14,8.5
243. The Angry Video Game Nerd,2004–,225 eps,TV-MA,8.5
244. Alfred Hitchcock Presents,1955–1962,268 eps,TV-PG,8.5
245. The Night Of,2016,8 eps,TV-MA,8.4
246. RuPaul's Drag Race,2009–,212 eps,,8.5
247. Foyle's War,2002–2015,28 eps,,8.6
248. Southland,2009–2013,43 eps,,8.5
249. Kardes Payi,2014–2015,35 eps,,8.6
250. Big Little Lies,2017–2019,14 eps,,8.5
